Periodical,Location,Ethnic Periodical,,,,,,,,,
Pittsburgh Gazette,"Pittsburgh, Pennsylvania",,,,,,,,,,
Cherokee Advocate ,"Tahlequah, Cherokee Nation [Okla.]",Yes,,,,,,,,,
Louisville Journal,"Louisville, Kentucky",,,,,,,,,,
Western Citizen,"Chicago, Illinois",,,,,,,,,,
The Mystery,"Pittsburgh, Pennsylvania",Yes,,,,,,,,,
Baltimore American,"Baltimore, Maryland",,,,,,,,,,
The True Sun,"London, England",,,,,,,,,,
New York Sun,"New York, New York",,,,,,,,,,
Baltimore Saturday Visiter,"Baltimore, Maryland",,,,,,,,,,
Piqua Register,"Miami, Ohio",,,,,,,,,,
Cincinnati Commercial,"Cincinnati, Ohio",,,,,,,,,,
Cincinnati Weekly Herald,"Cincinnati, Ohio",,,,,,,,,,
Ohio State Tribune,"Columbus, Ohio",,,,,,,,,,
Baltimore American,"Baltimore, Maryland",,,,,,,,,,
Milwaukee Democrat,"Milwaukee, Wisconsin",,,,,,,,,,
Dayton Eagle,"Dayton, Ohio",,,,,,,,,,l
Cleveland Herald,"Cleveland, Ohio",,,,,,,,,,
Journal of Commerce,"New York, New York",,,,,,,,,,
New York Tribune,"New York, New York",,,,,,,,,,
Richmond Enquire,"Richmond, Virginia",,,,,,,,,,
The Daily Fashion,"New Orleans, Louisiana",,,,,,,,,,
London Sentinel,"London, Kentucky",,,,,,,,,,
The Athenaeum,"London, England",,,,,,,,,,
Disfranchised American,"Cincinnati, Ohio",Yes,,,,,,,,,
The Exeter,"Exeter, New Hampshire",,,,,,,,,,
New Lisbon Aurora,"New Lisbon, Ohio",,,,,,,,,,
Ohio State Journal,"Columbus, Ohio",,,,,,,,,,
The Clarksonian,"Hartford, Conneticut",Yes [first state's black newspaper],,,,,,,,,
Olive Branch,"Boston, Massachusett",,,,,,,,,,
Christian Freeman and Family Visiter,"Waltham, Massachusett",,,,,,,,,,
North Star,"Rochester, New York",Yes,,,,,,,,,
Spirit of Freedom,"Chagrin Falls, Ohio",,,,,,,,,,
Liberator,"Boston, Massachusett",,,,,,,,,,
Tippecanoe Journal,"Tippecanoe, Ohio",,,,,,,,,,
The Daily Madisonian,Washington D.C.,,,,,,,,,,
Philadelphia Gazette,"Philadelphia, Pennsylvania",,,,,,,,,,
Philadelphia Chronicle,"Philadelphia, Pennsylvania",,,,,,,,,,
The Daily Mercury,"Mobile, Alabama",,,,,,,,,,
The Avalanche,"Memphis, Tennessee",,,,,,,,,,
The United States Gazette,"Philadelphia, Pennsylvania",,,,,,,,,,
The Portland Bulletin,"Portland, Maine",,,,,,,,,,
The Buffalo Gazette,"Buffalo, New York",,,,,,,,,,
Arkansas Traveler,"Fayetteville, Arkansas",,,,,,,,,,
American Republic,"New York, New York",,,,,,,,,,
St. Louis New Era,"St. Louis, Missouri",,,,,,,,,,
Morning Courier and New York Enquirer,"New York, New York",,,,,,,,,,
The Natchitoches Chronicle,"Natchitoches, Louisiana",,,,,,,,,,
Christain Advocate and Journal,"New York, New York",,,,,,,,,,
Buffalo Courier,"Buffalo, New York",,,,,,,,,,
New Orleans Commercial Bulletin,"New Orleans, Louisiana",,,,,,,,,,
Indiana Freeman,"Indianapolis, Indiana",Yes,,,,,,,,,
Boston Post,"Boston, Massachusett",,,,,,,,,,
Hunt's Merchant's Magazine,"New York, New York",,,,,,,,,,
Bangor Daily Whig & Courier,"Bangor, Maine",,,,,,,,,,
Dew Drop,,,,,,,,,,,
Democratic Freedom,,,,,,,,,,,
Bloomfield,,,,,,,,,,,
Liberty Courier,,,,,,,,,,,
Ellsworth Reports,,,,,,,,,,,
Franklin Banner,,,,,,,,,,,
Persevere,,,,,,,,,,,