"Issue#","Date","Page","ImageName","agents","receipt","poetry","ads","classifieds"
1,"12-27-1843",1,25875,"n","n","n","n","n"
1,"12-27-1843",2,25876,"n","n","n","n","n"
1,"12-27-1843",3,25876,"y","n","y","n","n"
3,"02-14-1844",1,25879,"n","n","n","n","n"
3,"02-14-1844",2,25880,"n","n","n","n","n"
3,"02-14-1844",3,25880,"n","n","n","n","n"
3,"02-14-1844",4,25881,"y","n","n","n","n"
4,"02-21-1844",1,25883,"n","n","n","n","n"
4,"02-21-1844",2,25884,"n","n","n","n","n"
4,"02-21-1844",3,25884,"n","n","n","n","n"
4,"02-21-1844",4,25885,"y","n","y","y","y"
5,"02-28-1844",1,25877,"n","n","n","n","n"
5,"02-28-1844",2,25888,"n","n","n","n","n"
5,"02-28-1844",3,25888,"n","n","n","n","n"
5,"02-28-1844",4,25889,"y","n","y","n","y"
8,"03-20-1844",1,25891,"n","n","n","n","n"
8,"03-20-1844",2,25892,"n","n","n","n","n"
8,"03-20-1844",3,25892,"n","n","y","n","n"
8,"03-20-1844",4,25893,"y","n","n","y","y"
9,"03-27-1844",1,25895,"n","n","n","n","n"
9,"03-27-1844",2,25896,"n","n","y","n","n"
9,"03-27-1844",3,25896,"n","n","n","n","n"
9,"03-27-1844",4,25897,"y","n","y","y","y"
10,"04-03-1844",1,25899,"n","n","n","n","n"
10,"04-03-1844",2,25900,"n","n","n","n","n"
10,"04-03-1844",3,25900,"n","y","n","n","y"
12,"04-17-1844",1,25909,"n","n","n","n","n"
12,"04-17-1844",2,25910,"n","n","n","n","n"
12,"04-17-1844",3,25910,"n","n","n","n","y"
12,"04-17-1844",4,25911,"y","n","n","n","y"
13,"04-24-1844",1,25913,"n","n","y","n","y"
13,"04-24-1844",2,25914,"n","n","n","n","n"
13,"04-24-1844",3,25915,"n","n","n","n","n"
13,"04-24-1844",4,25916,"y","n","n","n","y"
14,"05-01-1844",1,25918,"n","n","n","n","n"
14,"05-01-1844",2,25919,"n","n","n","n","n"
14,"05-01-1844",3,25919,"n","n","y","n","y"
14,"05-01-1844",4,25920,"y","n","n","n","y"
15,"05-08-1844",1,25922,"n","n","n","n","n"
15,"05-08-1844",2,25923,"n","n","n","n","y"
15,"05-08-1844",3,25923,"n","y","n","n","n"
15,"05-08-1844",4,25924,"y","n","n","n","y"
16,"05-15-1844",1,25926,"n","n","n","n","y"
16,"05-15-1844",2,25927,"n","n","y","n","y"
16,"05-15-1844",3,25927,"n","n","n","n","n"
16,"05-15-1844",4,25928,"y","n","n","n","y"
17,"05-22-1844",1,25930,"n","n","n","n","n"
17,"05-22-1844",2,25931,"n","n","n","n","n"
17,"05-22-1844",3,25931,"n","n","y","n","n"
17,"05-22-1844",4,25933,"y","n","n","n","y"
18,"05-29-1844",1,25933,"n","n",,,
18,"05-29-1844",2,25934,"n","n",,,
18,"05-29-1844",3,25934,"n","n",,,
18,"05-29-1844",4,25935,"y","n",,,
19,"06-05-1844",1,25937,"n","n",,,
19,"06-05-1844",2,25938,"n","n",,,
19,"06-05-1844",3,25938,"n","y",,,
19,"06-05-1844",4,25939,"y","n",,,
20,"06-12-1844",1,25941,"n","n",,,
20,"06-12-1844",2,25942,"n","n",,,
20,"06-12-1844",3,25942,"n","n",,,
20,"06-12-1844",4,25943,"y","n",,,
21,"06-19-1844",1,25945,"n","n",,,
21,"06-19-1844",2,25946,"y","n",,,
22,"06-26-1844",1,25948,"n","n",,,
22,"06-26-1844",2,25949,"n","n",,,
22,"06-26-1844",3,25949,"n","n",,,
22,"06-26-1844",4,25950,"y","n",,,
23,"07-03-1844",1,25952,"n","n",,,
23,"07-03-1844",2,25953,"n","n",,,
23,"07-03-1844",3,25953,"n","n",,,
23,"07-03-1844",4,25954,"y","n",,,
24,"07-10-1844",1,25956,"n","n",,,
24,"07-10-1844",2,25957,"n","y",,,
24,"07-10-1844",3,25957,"n","n",,,
24,"07-10-1844",4,25959,"y","n",,,
26,"07-17-1844",1,25959,"n","n",,,
26,"07-17-1844",2,25960,"n","n",,,
26,"07-17-1844",3,25960,"n","n",,,
26,"07-17-1844",4,25962,"y","n",,,
27,"08-14-1844",1,25964,"n","n",,,
27,"08-14-1844",2,25965,"n","n",,,
27,"08-14-1844",3,25965,"n","n",,,
27,"08-14-1844",4,25966,"y","n",,,
28,"08-21-1844",1,25968,"n","n",,,
28,"08-21-1844",2,25969,"n","n",,,
28,"08-21-1844",3,25969,"n","n",,,
28,"08-21-1844",4,25970,"y","n",,,
29,"08-28-1844",1,25972,"n","n",,,
29,"08-28-1844",2,25973,"n","n",,,
29,"08-28-1844",3,25973,"n","n",,,
29,"08-28-1844",4,25974,"y","n",,,
30,"09-11-1844",1,25976,"n","n",,,
30,"09-11-1844",2,25977,"n","n",,,
30,"09-11-1844",3,25977,"n","n",,,
30,"09-11-1844",4,25978,"y","n",,,
31,"09-25-1844",1,25980,"n","n",,,
31,"09-25-1844",2,25981,"n","n",,,
31,"09-25-1844",3,25981,"n","n",,,
31,"09-25-1844",4,25982,"y","n",,,
32,"10-02-1844",1,25984,"n","n",,,
32,"10-02-1844",2,25985,"n","n",,,
32,"10-02-1844",3,25985,"n","n",,,
32,"10-02-1844",4,25987,"y","n",,,
34,"10-09-1844",1,25987,"n","n",,,
34,"10-09-1844",2,25988,"n","n",,,
34,"10-09-1844",3,25988,"n","n",,,
34,"10-09-1844",4,25990,"y","n",,,
35,"10-16-1844",1,25990,"n","n",,,
35,"10-16-1844",2,25991,"n","n",,,
35,"10-16-1844",3,25991,"n","n",,,
35,"10-16-1844",4,25992,"y","n",,,
36,"10-23-1844",1,25994,"n","n",,,
36,"10-23-1844",2,25995,"n","n",,,
36,"10-23-1844",3,25995,"n","n",,,
36,"10-23-1844",4,25996,"y","n",,,
37,"11-13-1844",1,25998,"n","n",,,
37,"11-13-1844",2,25999,"n","n",,,
37,"11-13-1844",3,25999,"n","n",,,
37,"11-13-1844",4,26000,"y","n",,,
